Company Name,Symbol,Sector,Dividend
Diamcor Mining Inc,DMI.V,Basic Materials,0
Damara Gold Corp.,DMR.V,Basic Materials,0
Small Pharma Inc.,DMT.V,Healthcare,0
District Metals Corp,DMX.V,Basic Materials,0
CloudMD Software & Services Inc.,DOC.V,Healthcare,0
Discovery One Investment Corp.,DOIT.P.V,sector not available!,0
Dios Exploration Inc,DOS.V,Basic Materials,0
Denarius Silver Corp.,DSLV.V,Basic Materials,0
Deep-South Resources Inc.,DSM.V,Basic Materials,0
Discovery Silver Corp.,DSV.V,Basic Materials,0
Destiny Media Technologies Inc.,DSY.V,Technology,0
Dynamic Technologies Group Inc.,DTG.V,Industrials,0
Daura Capital Corp.,DUR.P.V,sector not available!,0
Duro Metals Inc.,DURO.P.V,sector not available!,0
Dolly Varden Silver Corporation,DV.V,Basic Materials,0
Divergent Energy Services Corp.,DVG.V,Energy,0
Drummond Ventures Corp.,DVX.P.V,sector not available!,0
Diamond Estates Wines & Spirits Inc.,DWS.V,Consumer Defensive,0
DXStorm.com Inc,DXX.V,Technology,0
Dynasty Gold Corp.,DYG.V,Basic Materials,0
Earth Alive Clean Technologies Inc.,EAC.V,Basic Materials,0
East Africa Metals Inc.,EAM.V,Basic Materials,0
EastWest Bioscience Inc.,EAST.V,Healthcare,0
Engineer Gold Mines Ltd.,EAU.V,Basic Materials,0
Eastwood Bio-Medical Canada Inc.,EBM.V,Healthcare,0
Endurance Capital Corp.,ECAP.P.V,sector not available!,0
Ethos Gold Corp.,ECC.V,Basic Materials,0
ECC Ventures 4 Corp.,ECCF.P.V,sector not available!,0
ECC Ventures 3 Corp.,ECCT.P.V,sector not available!,0
Ecolomondo Corporation,ECM.V,Industrials,0
Emerge Commerce Ltd.,ECOM.V,Financial Services,0
Cartier Resources Inc,ECR.V,Basic Materials,0
Element 29 Resources Inc.,ECU.V,Basic Materials,0
Edison Battery Metals Corp.,EDDY.V,Basic Materials,0
Endurance Gold Corporation,EDG.V,Basic Materials,0
1844 Resources Inc.,EFF.V,Basic Materials,0
Eagle Graphite Incorporated,EGA.V,Basic Materials,0
Engold Mines Ltd.,EGM.V,Basic Materials,0
Eguana Technologies Inc.,EGT.V,Industrials,0
Enerdynamic Hybrid Technologies Corp.,EHT.V,Technology,0
"CardioComm Solutions, Inc.",EKG.V,Healthcare,0
Engagement Labs Inc.,EL.V,Technology,0
Elysee Development Corp.,ELC.V,Financial Services,0.12
Elemental Royalties Corp.,ELE.V,Basic Materials,0
Electric Royalties Ltd.,ELEC.V,Basic Materials,0
Element Lifestyle Retirement Inc.,ELM.V,Healthcare,0
El Nino Ventures Inc.,ELN.V,Basic Materials,0.11
Eloro Resources Ltd.,ELO.V,Basic Materials,0
Elixxer Ltd.,ELXR.V,Healthcare,0
Giyani Metals Corp.,EMM.V,Basic Materials,0
Euro Manganese Inc.,EMN.V,Basic Materials,0
Eminent Gold Corp.,EMNT.V,Basic Materials,0
Emerita Resources Corp.,EMO.V,Basic Materials,0
Empress Royalty Corp.,EMPR.V,Basic Materials,0
Emgold Mining Corporation,EMR.V,Basic Materials,0
EMX Royalty Corporation,EMX.V,Basic Materials,0
Enablence Technologies Inc.,ENA.V,Technology,0
Enduro Metals Corporation,ENDR.V,Basic Materials,0
New Energy Metals Corp,ENRG.V,Basic Materials,0
Entourage Health Corp.,ENTG.V,Healthcare,0
EnWave Corporation,ENW.V,Industrials,0
Eco (Atlantic) Oil & Gas Ltd.,EOG.V,Energy,0
Empire Metals Corp.,EP.V,Basic Materials,0.64
Eagle Plains Resources Ltd.,EPL.V,Basic Materials,0
EQ Inc.,EQ.V,Communication Services,0
Equity Metals Corporation,EQTY.V,Basic Materials,0
Elcora Advanced Materials Corp,ERA.V,Basic Materials,0
Eros Resources Corp.,ERC.V,Basic Materials,2.4
ESE Entertainment Inc.,ESE.V,Communication Services,0
ESG Capital 1 Inc.,ESGO.P.V,sector not available!,0
ESG Global Impact Capital Inc,ESGW.V,Financial Services,0
Eskay Mining Corp,ESK.V,Basic Materials,0
Esstra Industries Inc.,ESS.V,Financial Services,0
Essex Minerals Inc.,ESX.V,Basic Materials,0
Eastfield Resources Ltd.,ETF.V,Basic Materials,0
E3 Metals Corp.,ETMC.V,Basic Materials,0
E2Gold Inc.,ETU.V,Basic Materials,0
Encore Energy Corp.,EU.V,Energy,0
Erin Ventures Inc.,EV.V,Basic Materials,0
Eve & Co Incorporated,EVE.V,Healthcare,0
Evergold Corp.,EVER.V,Basic Materials,0
EverGen Infrastructure Corp.,EVGN.V,sector not available!,0
European Electric Metals Inc.,EVX.V,Basic Materials,0
East West Petroleum Corp,EW.V,Energy,0
Earthworks Industries Inc.,EWK.V,Industrials,0
Environmental Waste International Inc.,EWS.V,Industrials,0
ExGen Resources Inc.,EXG.V,Basic Materials,0
Fiore Gold Ltd.,F.V,Basic Materials,0
Fountain Asset Corp.,FA.V,Financial Services,0
Fairchild Gold Corp.,FAIR.V,Basic Materials,0
Deveron Corp.,FARM.V,Technology,0
Fab-Form Industries Ltd.,FBF.V,Basic Materials,0
Firm Capital Apartment REIT db 30Jun2026,FCA.DB.V,sector not available!,0
Firm Capital Apartment Real Estate Investment Trust USD,FCA.U.V,sector not available!,0
Firm Capital Apartment Real Estate Investment Trust,FCA.UN.V,sector not available!,0
First Cobalt Corp.,FCC.V,Basic Materials,0
Firm Capital Property Trust,FCD.UN.V,sector not available!,0
Fabled Silver Gold Corp.,FCO.V,Basic Materials,0
Facedrive Inc.,FD.V,Technology,0
Findev Inc.,FDI.V,Financial Services,0.03
Founders Metals Inc.,FDR.V,Basic Materials,0
Oceanic Iron Ore Corp,FEO.V,Basic Materials,0
Fjordland Exploration Inc.,FEX.V,Basic Materials,0
